Sample in Buffer,Sample in Window,TRIGGER,UUT3/DOUT[39:0],UUT3/SS,UUT3/SCLK,UUT3/MOSI,UUT3/MISO,UUT3/Game_Enable,UUT3/PMOD_Ydata[15:0],UUT3/paddlePosY[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,HEX
0,0,0,de01fe0180,1,0,0,1,0,65025,16e
1,1,0,de01fe0180,1,0,0,1,0,65025,16e
2,2,0,de01fe0180,1,0,0,1,0,65025,16e
3,3,0,de01fe0180,1,0,0,1,0,65025,16e
4,4,0,de01fe0180,1,0,0,1,0,65025,16e
5,5,0,de01fe0180,1,0,0,1,0,65025,16e
6,6,0,de01fe0180,1,0,0,1,0,65025,16e
7,7,0,de01fe0180,1,0,0,1,0,65025,16e
8,8,0,de01fe0180,1,0,0,1,0,65025,16e
9,9,0,de01fe0180,1,0,0,1,0,65025,16e
10,10,0,de01fe0180,1,0,0,1,0,65025,16e
11,11,0,de01fe0180,1,0,0,1,0,65025,16e
12,12,0,de01fe0180,1,0,0,1,0,65025,16e
13,13,0,de01fe0180,1,0,0,1,0,65025,16e
14,14,0,de01fe0180,1,0,0,1,0,65025,16e
15,15,0,de01fe0180,1,0,0,1,0,65025,16e
16,16,0,de01fe0180,1,0,0,1,0,65025,16e
17,17,0,de01fe0180,1,0,0,1,0,65025,16e
18,18,0,de01fe0180,1,0,0,1,0,65025,16e
19,19,0,de01fe0180,1,0,0,1,0,65025,16e
20,20,0,de01fe0180,1,0,0,1,0,65025,16e
21,21,0,de01fe0180,1,0,0,1,0,65025,16e
22,22,0,de01fe0180,1,0,0,1,0,65025,16e
23,23,0,de01fe0180,1,0,0,1,0,65025,16e
24,24,0,de01fe0180,1,0,0,1,0,65025,16e
25,25,0,de01fe0180,1,0,0,1,0,65025,16e
26,26,0,de01fe0180,1,0,0,1,0,65025,16e
27,27,0,de01fe0180,1,0,0,1,0,65025,16e
28,28,0,de01fe0180,1,0,0,1,0,65025,16e
29,29,0,de01fe0180,1,0,0,1,0,65025,16e
30,30,0,de01fe0180,1,0,0,1,0,65025,16e
31,31,0,de01fe0180,1,0,0,1,0,65025,16e
32,32,0,de01fe0180,1,0,0,1,0,65025,16e
33,33,0,de01fe0180,1,0,0,1,0,65025,16e
34,34,0,de01fe0180,1,0,0,1,0,65025,16e
35,35,0,de01fe0180,1,0,0,1,0,65025,16e
36,36,0,de01fe0180,1,0,0,1,0,65025,16e
37,37,0,de01fe0180,1,0,0,1,0,65025,16e
38,38,0,de01fe0180,1,0,0,1,0,65025,16e
39,39,0,de01fe0180,1,0,0,1,0,65025,16e
40,40,0,de01fe0180,1,0,0,1,0,65025,16e
41,41,0,de01fe0180,1,0,0,1,0,65025,16e
42,42,0,de01fe0180,1,0,0,1,0,65025,16e
43,43,0,de01fe0180,1,0,0,1,0,65025,16e
44,44,0,de01fe0180,1,0,0,1,0,65025,16e
45,45,0,de01fe0180,1,0,0,1,0,65025,16e
46,46,0,de01fe0180,1,0,0,1,0,65025,16e
47,47,0,de01fe0180,1,0,0,1,0,65025,16e
48,48,0,de01fe0180,1,0,0,1,0,65025,16e
